Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Cl,Cd,peak_LD_2d,aoa_2d,peak_LD_3d,aoa_3d,airfoil
rg1410,0.015188,0.36,0.100001,0.31,500000.0,0.4025,0.0128268459998309,81.75771971496437,4.0,31.37949890450902,2.0,
n63210,0.010998,0.59,0.10001,0.349,500000.0,0.3957,0.0126135860389093,58.62222222222222,2.0,31.370935971687675,2.0,
rg15a111,0.017486,0.397,0.109975,0.304,500000.0,0.3781,0.0120635831985857,87.66703176341731,5.0,31.34226322112364,1.0,
bte-fk,0.018899,0.491,0.121297,0.236,500000.0,0.4471,0.0142758400159318,75.14114627887082,6.0,31.31864741416519,2.0,
vr1,0.014045,0.514,0.109746,0.353,500000.0,0.4063,0.0129819408629594,72.28116710875332,3.0,31.297323280779192,2.0,
naca2412,0.019207,0.4,0.120004,0.3,500000.0,0.3515,0.0112568120747354,87.06580366774541,5.0,31.22553682750904,1.0,
c141d,0.015302,0.5,0.107658,0.402,500000.0,0.4875,0.0156498039868666,80.98318240620958,3.0,31.150549898842893,2.0,
e392,0.038534,0.436,0.101519,0.316,500000.0,0.4454,0.014299021701248,118.49519743863397,6.0,31.14898412673398,0.0,
sg6042,0.037841,0.471,0.100018,0.335,500000.0,0.5297,0.0170073003686011,123.18840579710144,3.0,31.145448632043333,0.0,
mrc20-846,0.029402,0.467,0.131876,0.382,500000.0,0.4998,0.0160545673295419,104.9636803874092,4.0,31.13132791067628,1.0,
raf31,0.020728,0.5,0.1274,0.3,500000.0,0.4625,0.0148604087166472,91.46135265700484,4.0,31.122966320696733,2.0,
lds2,0.020872,0.5,0.119743,0.349,500000.0,0.357,0.0114727384334397,97.53846153846156,4.0,31.117243897014767,1.0,
s8064,0.011896,0.544,0.12338,0.391,500000.0,0.461,0.0148285335672547,78.9029535864979,4.0,31.088711362397127,3.0,
c141b,0.010794,0.645,0.126451,0.402,500000.0,0.3811,0.0122588752687942,67.75342465753424,3.0,31.08768069205449,2.0,
hq3011,0.02944,0.5,0.109851,0.35,500000.0,0.411,0.0132357910922414,111.39841688654354,4.0,31.05216734955273,0.0,
c141a,0.010495,0.691,0.129938,0.402,500000.0,0.3748,0.0120805404698898,67.03190013869626,3.0,31.025101975708083,2.0,
hq1511,0.01464,0.5,0.110001,0.339,500000.0,0.4307,0.0138867384092599,81.06683804627251,4.0,31.01520222436105,2.0,
boe103,0.033968,0.4,0.127208,0.3,500000.0,0.4133,0.0133267888016669,93.76357056694812,3.0,31.01272228072702,0.0,
cal4014l,0.018731,0.315,0.100007,0.249,500000.0,0.4259,0.0137527633042218,81.77251184834122,7.0,30.968321825858578,3.0,
rae104,-0.0,0.008,0.1,0.42,500000.0,0.3175,0.0102550148193076,48.99691358024692,3.0,30.9604623293403,3.0,
rc10n1,0.014777,0.25,0.10012,0.376,500000.0,0.466,0.0150521060757796,81.65859564164649,5.0,30.95912277351273,3.0,
mrc16-85,0.031358,0.385,0.11819,0.345,500000.0,0.3403,0.0109966572597079,104.2742857142857,5.0,30.945767605840445,0.0,
mh49,-0.009236,0.829,0.104999,0.288,500000.0,0.403,0.0130419282712027,67.80713342140025,5.0,30.90033863242793,4.0,
goe593,0.038425,0.4,0.119013,0.3,500000.0,0.4916,0.0159201327585379,102.12817412333736,3.0,30.87913948056457,0.0,
amsoil1,0.020791,0.42,0.11624,0.39,500000.0,0.4403,0.0142998654615322,79.41843971631205,3.0,30.79049947598746,2.0,
hq2511,0.02445,0.5,0.110002,0.339,500000.0,0.4588,0.0149027548433387,102.29057591623037,4.0,30.78625427466353,1.0,
c5e,0.014395,0.3,0.107823,0.4,500000.0,0.4142,0.0134546783649299,67.17079530638853,3.0,30.78483102796615,2.0,
clarkx,0.032495,0.4,0.116999,0.3,500000.0,0.5317,0.0172967954540589,103.34451901565996,5.0,30.739798097989805,1.0,
e852,0.02765,0.595,0.100838,0.372,500000.0,0.4284,0.0139427433441532,116.86713286713288,4.0,30.725660612525385,0.0,
s8052,0.015963,0.369,0.118948,0.333,500000.0,0.3863,0.0125783116493376,81.0,5.0,30.7115939538946,2.0,
raf32md,0.038935,0.5,0.101609,0.3,500000.0,0.5035,0.016403582993376,121.43042912873862,4.0,30.694513522034665,0.0,
mrc15,0.012695,0.423,0.124926,0.338,500000.0,0.3556,0.0115853785893394,82.7556512378902,5.0,30.693860995376763,2.0,
k3311,0.031845,0.4,0.110005,0.3,500000.0,0.5277,0.0171981048689186,107.62854144805875,6.0,30.683613341240164,1.0,
clarkw,0.036497,0.4,0.112208,0.3,500000.0,0.4988,0.0162771715351486,98.49104859335036,3.0,30.64414471045542,1.0,
tempest3,0.010004,0.407,0.1,0.38,500000.0,0.4087,0.0133451895850036,73.90677025527192,4.0,30.62526743413728,2.0,
sg6051,0.032382,0.463,0.12012,0.357,500000.0,0.3794,0.0123904603351057,113.06586826347306,5.0,30.620331266066955,0.0,
goe600,0.018404,0.503,0.131079,0.304,500000.0,0.441,0.014422967644107,90.29754204398448,4.0,30.57623166617757,2.0,
ah79100a,0.036277,0.565,0.100002,0.279,500000.0,0.4877,0.0159571078880668,115.893536121673,4.0,30.56318246520829,0.0,
mh46,0.018538,0.355,0.113488,0.272,500000.0,0.3942,0.0128992155131864,85.91549295774648,6.0,30.559997977940725,3.0,
naca4412,0.038372,0.4,0.120216,0.3,500000.0,0.4769,0.0156069842957021,107.18929254302104,6.0,30.556832182584262,0.0,
e201,0.030681,0.446,0.118795,0.338,500000.0,0.4617,0.0151127209993003,111.08078602620088,6.0,30.550421728911417,1.0,
e205,0.029798,0.352,0.104798,0.301,500000.0,0.4582,0.0150221508316471,104.89594742606792,6.0,30.501624243760737,1.0,
goe623,0.037024,0.4,0.120004,0.3,500000.0,0.3957,0.0129835860389093,103.44086021505376,5.0,30.476942103218697,0.0,
e67,0.036537,0.531,0.116297,0.326,500000.0,0.5348,0.0175606048929067,121.01412066752246,4.0,30.45453179212641,0.0,
c5a,0.007598,0.85,0.131221,0.4,500000.0,0.3575,0.0117461168107149,56.531645569620245,3.0,30.43559039646908,2.0,
fx79l100,-0.0,0.999,0.10066,0.339,500000.0,0.3222,0.0105976062688018,54.74513438368861,5.0,30.403092153793164,3.0,
goe479,0.037913,0.4,0.116017,0.3,500000.0,0.4207,0.0138379042479695,101.53209109730848,5.0,30.402002533131448,0.0,
e68,0.033321,0.509,0.131046,0.325,500000.0,0.475,0.0156292550670844,114.67365967365966,5.0,30.391723595346555,0.0,
naca66210,0.010781,0.5,0.100002,0.45,500000.0,0.3857,0.0127109656329517,66.66666666666667,3.0,30.34387875301282,2.0,
psu-90-125wl,0.024063,0.495,0.125455,0.341,500000.0,0.4463,0.0147090750227726,100.5080831408776,5.0,30.34181274546746,1.0,
hq1512,0.014746,0.5,0.119591,0.35,500000.0,0.4303,0.0141938412416362,82.05128205128206,4.0,30.31596540179392,2.0,
vr7b,0.02811,0.33,0.120299,0.33,500000.0,0.4354,0.0143891777627178,99.8747591522158,7.0,30.258851977499067,2.0,
e195,0.031552,0.442,0.118218,0.341,500000.0,0.4791,0.0158357453960106,111.81111111111112,6.0,30.25433839828567,1.0,
goe629,0.026808,0.495,0.136438,0.294,500000.0,0.4005,0.0132467041554531,93.7564499484004,5.0,30.23393557371254,1.0,
e66,0.039982,0.523,0.101414,0.314,500000.0,0.5901,0.0195301453094407,127.69559032716928,3.0,30.21482895545843,0.0,
hq1012,0.009854,0.5,0.11958,0.35,500000.0,0.4698,0.015575273450799,75.48049476688868,6.0,30.1631943403149,3.0,
k1,0.019489,0.725,0.115988,0.33,500000.0,0.4155,0.0137850703915577,72.18579234972677,2.0,30.14130419344535,1.0,
naca651212a06,0.014252,0.5,0.119953,0.401,500000.0,0.4895,0.016242977812467,81.71983356449375,4.0,30.136099775023563,3.0,
goe547,0.03993,0.5,0.105139,0.301,500000.0,0.491,0.0162980547848322,119.15492957746478,4.0,30.126294608909213,0.0,
goe392,0.048004,0.4,0.101504,0.3,500000.0,0.5461,0.0181280038414396,108.4177997527812,3.0,30.124662636690555,0.0,
hq2512,0.024676,0.5,0.119611,0.35,500000.0,0.4568,0.0151641796593881,97.90139064475346,4.0,30.12362094491501,1.0,
mrc16-95,0.031357,0.385,0.132095,0.345,500000.0,0.4539,0.0150752777818931,102.66734279918865,6.0,30.10889792990601,1.0,
raf38,0.02408,0.4,0.126508,0.3,500000.0,0.3733,0.0123985179476802,98.50976361767728,6.0,30.10843728058993,1.0,
vr7,0.028918,0.33,0.120298,0.33,500000.0,0.4398,0.0146233863714834,103.15789473684212,6.0,30.07511316651249,1.0,
boe106,0.031982,0.4,0.130609,0.3,500000.0,0.3283,0.0109162026857279,98.36575875486383,6.0,30.07456067385276,0.0,
hq2012,0.019624,0.5,0.119731,0.35,500000.0,0.386,0.0128396352708047,89.69465648854961,4.0,30.06315926105024,1.0,
e228,0.002675,0.319,0.10069,0.279,500000.0,0.3856,0.0128380772515962,65.95469255663431,5.0,30.03565038931784,3.0,
n63412,0.021153,0.5,0.120031,0.349,500000.0,0.4537,0.0151184801806531,99.50394588500563,5.0,30.00963023919513,1.0,
fx84w127,0.037388,0.402,0.12754,0.339,500000.0,0.4829,0.0160926411160028,115.27808069792805,6.0,30.00750445617008,1.0,
kc135b,0.012921,0.2,0.129799,0.4,500000.0,0.4708,0.0156904972483219,88.71980676328504,5.0,30.005422552835288,3.0,
defcnd3,0.021617,0.286,0.114846,0.286,500000.0,0.4017,0.0133927533117867,83.97699260476581,7.0,29.993832533783,1.0,
n63212,0.010728,0.549,0.120013,0.349,500000.0,0.402,0.01341178245257,78.85786802030456,4.0,29.973644548862083,2.0,
hq3012,0.029406,0.5,0.119801,0.35,500000.0,0.415,0.0138495200174121,105.59284116331096,5.0,29.96493737532028,0.0,
naca641112,0.00531,0.5,0.119629,0.4,500000.0,0.4241,0.0141554675247087,68.23076923076924,4.0,29.96015491962536,3.0,
apex16,0.026644,0.596,0.129513,0.368,500000.0,0.4027,0.0134428766614863,110.91898428053204,5.0,29.95638583471724,0.0,
lwk80100,-2.5e-05,0.017,0.10062,0.402,500000.0,0.3116,0.0104060186285488,47.78782894736842,6.0,29.944209319895624,3.0,
apex16_NASA_CR-201062,0.026812,0.591,0.131096,0.369,500000.0,0.4553,0.0152129448745902,116.65066026410564,5.0,29.928459200590048,0.0,
mh18,0.028194,0.38,0.111447,0.334,500000.0,0.4209,0.0140642075326804,107.41976893453143,5.0,29.92703279029213,1.0,
amsoil2,0.009689,0.51,0.11762,0.39,500000.0,0.3524,0.0117805358977938,56.51663405088063,7.0,29.913749515078926,2.0,
rg15a213,0.024024,0.397,0.129985,0.304,500000.0,0.3717,0.0124338796671707,92.68500948766602,6.0,29.894128779563665,0.0,
hq3512,0.034427,0.5,0.119573,0.35,500000.0,0.4818,0.0161229021863649,110.07308160779536,4.0,29.882957449649187,0.0,
goe693,0.035494,0.4,0.119993,0.3,500000.0,0.5363,0.0179607710786288,102.53640776699028,4.0,29.859519819732785,1.0,
mrc-16,0.031356,0.385,0.139047,0.345,500000.0,0.4395,0.0147235079050273,101.686626746507,6.0,29.850223386638195,1.0,
vr11x,0.022298,0.3,0.10971,0.4,500000.0,0.4225,0.0141547416612465,71.17545871559633,10.0,29.84865496745445,1.0,
naca1412,0.009626,0.4,0.120059,0.301,500000.0,0.343,0.0114957458587807,73.27868852459017,5.0,29.83712446443884,2.0,
n63012a,-0.0,0.025,0.1199,0.35,500000.0,0.4305,0.0144302883275192,57.47663551401869,4.0,29.83308373534134,4.0,
vr5,0.031952,0.35,0.120003,0.35,500000.0,0.4052,0.0135885127076768,111.96388261851015,6.0,29.819304637444297,1.0,
goe389,0.039205,0.398,0.103257,0.298,500000.0,0.4501,0.0150966356500085,100.34069981583792,6.0,29.814589848682207,0.0,
n64212,0.010601,0.5,0.119641,0.4,500000.0,0.4008,0.0134457063335166,78.72611464968153,4.0,29.808772410930217,2.0,
e171,-0.0,0.011,0.12254,0.324,500000.0,0.4381,0.0146974975216672,64.08018867924528,5.0,29.8077954668233,4.0,
goe796,0.035691,0.4,0.119994,0.3,500000.0,0.5439,0.0182582030053139,104.83394833948338,4.0,29.789350016630976,1.0,
e207,0.024884,0.386,0.120281,0.3,500000.0,0.3741,0.012560908988521,101.863488624052,6.0,29.78287640981037,1.0,
r140sm,0.004368,0.393,0.12041,0.393,500000.0,0.3575,0.0120061168107149,61.64540816326531,4.0,29.77648857130445,3.0,
naca651212,0.010653,0.5,0.119949,0.4,500000.0,0.5076,0.0170488249717612,71.62901307966706,4.0,29.77331287292595,3.0,
e836,0.0,0.067,0.1264,0.428,500000.0,0.4373,0.0146912717829034,58.07436918990704,4.0,29.765973052713857,4.0,
s4158,0.037045,0.452,0.1086,0.353,500000.0,0.5284,0.0177557892159256,122.65625,5.0,29.759307996631584,1.0,
nplx,0.010807,0.738,0.106664,0.359,500000.0,0.3533,0.0118743203869717,49.06944444444444,2.0,29.75328174466597,2.0,
naca651412,0.021296,0.5,0.119969,0.401,500000.0,0.4588,0.0154327548433387,98.0426599749059,4.0,29.728976106818177,1.0,
goe436,0.036227,0.3,0.110005,0.3,500000.0,0.5097,0.0171588267316613,96.36796193497226,8.0,29.70482818965151,1.0,
e297,-0.0,0.012,0.11388,0.377,500000.0,0.3316,0.0111777525551215,55.85806451612903,4.0,29.66607091763385,3.0,
mrc-20,0.0294,0.467,0.155882,0.382,500000.0,0.4943,0.0166698173038708,98.74745417515274,5.0,29.65239456374967,1.0,
b737c,0.014043,0.204,0.100001,0.399,500000.0,0.5121,0.0172706617552009,84.13422818791946,4.0,29.65144053300596,3.0,
rc12n1,0.013728,0.3,0.120215,0.376,500000.0,0.4544,0.0153422848918708,86.47348951911222,5.0,29.617491996955813,3.0,
cast102,0.015413,0.695,0.121813,0.454,500000.0,0.5037,0.0170211265631964,83.88203017832649,3.0,29.592635841690704,2.0,
goe285,0.035083,0.4,0.117303,0.3,500000.0,0.5097,0.0172288267316613,88.36817262306137,9.0,29.58413871928529,1.0,
l188root,0.01994,0.517,0.139852,0.413,500000.0,0.489,0.0165346562699004,90.55005500550055,5.0,29.57424648071882,2.0,
rae5212,0.018277,0.691,0.11946,0.355,500000.0,0.4029,0.0136389103189994,65.73834196891191,2.0,29.540483116070185,1.0,
n2414,0.018767,0.448,0.140092,0.299,500000.0,0.3416,0.0115698539849791,87.15370018975331,6.0,29.5250052804029,1.0,
clarym15,0.034867,0.401,0.150007,0.296,500000.0,0.3921,0.0133073798857319,87.93141592920355,3.0,29.46485359002982,0.0,
vr12,0.022402,0.2,0.105649,0.35,500000.0,0.3644,0.012382650523323,72.5130890052356,7.0,29.42827137967292,1.0,
naca661212,0.010664,0.5,0.120002,0.45,500000.0,0.4979,0.016923579356654,65.17015706806282,3.0,29.420490163875016,3.0,
s8038,0.009247,0.295,0.130064,0.329,500000.0,0.4276,0.0145370988017934,71.33275261324042,6.0,29.41439731752033,3.0,
s4233,0.032308,0.44,0.136565,0.338,500000.0,0.4758,0.0161777396825934,110.77170418006432,6.0,29.41078354177866,1.0,
hq3013,0.029533,0.5,0.129871,0.35,500000.0,0.4168,0.0141855889931756,105.43016759776536,5.0,29.381931212056976,0.0,
avistar,0.022845,0.379,0.145217,0.342,500000.0,0.4537,0.0154484801806531,80.45405405405405,4.0,29.36858478597724,2.0,
clarkz,0.03941,0.4,0.117503,0.3,500000.0,0.5937,0.0202197376477644,100.32686414708886,5.0,29.362398777990137,1.0,
fx84w140,0.042044,0.402,0.14082,0.371,500000.0,0.4514,0.0153805230936689,117.26040658276864,7.0,29.348806750650024,0.0,
e374,0.02264,0.389,0.109226,0.362,500000.0,0.5035,0.017163582993376,102.72392638036813,5.0,29.33536664193689,2.0,
e853,0.031016,0.561,0.116092,0.371,500000.0,0.4719,0.0160893299309897,120.07255139056832,5.0,29.329997086520752,0.0,
fx601001,0.03518,0.597,0.101206,0.308,500000.0,0.5083,0.0173354555258038,103.33696837513632,4.0,29.321410057174216,0.0,
mrc12,0.029101,0.451,0.139374,0.386,500000.0,0.463,0.0158077378813332,105.54899645808736,5.0,29.28945327128289,1.0,
hq3513,0.034424,0.5,0.130003,0.35,500000.0,0.4812,0.0164312646037488,105.07531865585167,4.0,29.28563391829334,0.0,
fx79l120,-0.0,0.999,0.12068,0.339,500000.0,0.4224,0.0144415776609778,58.43252305113161,6.0,29.2488819376954,4.0,
oa213,0.033122,0.25,0.125675,0.325,500000.0,0.4112,0.0140719490778513,74.55497382198953,7.0,29.221254122302955,2.0,
goe398,0.044519,0.401,0.138532,0.299,500000.0,0.4809,0.0164604559234607,96.08695652173913,5.0,29.21547265981767,0.0,
p51htip,0.012855,0.475,0.119986,0.45,500000.0,0.4698,0.016085273450799,67.04242424242425,4.0,29.20683950055329,3.0,
tempest2,0.009007,0.408,0.11999,0.373,500000.0,0.3531,0.0120990297021811,69.65714285714286,4.0,29.18415845663609,2.0,
n64012,0.0,0.012,0.11962,0.4,500000.0,0.3384,0.0116083666541161,56.14123581336696,4.0,29.151387967230505,3.0,
mh201,0.026002,0.459,0.130801,0.363,500000.0,0.4602,0.0157909357256403,95.59562841530057,4.0,29.14330144810571,0.0,
mb253515sm,0.024054,0.375,0.14958,0.35,500000.0,0.4261,0.0146391444812342,92.18095238095238,6.0,29.106892178447453,2.0,
geminism,0.021989,0.379,0.15379,0.342,500000.0,0.4258,0.0146395738391622,92.46925260170296,6.0,29.085546114801776,2.0,
prandtl-d-centerline,0.035199,0.373,0.120229,0.311,500000.0,0.4528,0.0155679280488127,101.1569301260023,6.0,29.085437611238923,2.0,
e214,0.040285,0.525,0.111072,0.331,500000.0,0.6054,0.0208151163535196,120.65217391304348,5.0,29.08463203942808,0.0,
naca2415,0.018777,0.4,0.150008,0.3,500000.0,0.4479,0.015402652942815,86.03336422613532,6.0,29.07940610379933,2.0,
goe682,0.042366,0.4,0.106508,0.3,500000.0,0.6193,0.0213026097929042,106.45502645502646,5.0,29.07155536437068,1.0,
clarkyh,0.024035,0.303,0.119047,0.303,500000.0,0.4253,0.014633637748331,80.21158129175947,3.0,29.063176724359284,1.0,
raf48,0.027735,0.4,0.149611,0.3,500000.0,0.3553,0.012227392007054,97.34929078014186,7.0,29.05770910060188,1.0,
fx60126,0.035058,0.565,0.125938,0.279,500000.0,0.5106,0.0175732143103891,103.016157989228,6.0,29.05558374133856,0.0,
goe601,0.024082,0.505,0.160682,0.306,500000.0,0.4885,0.0168163534514449,79.87791342952275,4.0,29.04910398145956,2.0,
fx68h120,0.023102,0.339,0.11807,0.25,500000.0,0.341,0.0117445166912161,74.68392993145468,7.0,29.034826120604627,1.0,
naca001034,0.0,0.025,0.1,0.4,500000.0,0.3604,0.012414080638379,47.735099337748345,3.0,29.03154977790272,3.0,
e186,0.012806,0.29,0.102746,0.31,500000.0,0.4133,0.0142367888016669,76.14914425427874,5.0,29.0304229245578,3.0,
n2415,0.018575,0.448,0.150101,0.299,500000.0,0.448,0.0154360079290154,86.71947809878844,6.0,29.0230480614021,2.0,
e197,0.027882,0.444,0.134874,0.342,500000.0,0.5203,0.0179276864184089,109.14539400665926,6.0,29.022149755237383,2.0,
du84132v,0.029607,0.453,0.136305,0.339,500000.0,0.4664,0.0160760727646209,81.74188440221694,6.0,29.012060770614216,0.0,
naca001234,-0.0,0.012,0.12,0.4,500000.0,0.3353,0.0115601571661163,49.77349943374859,4.0,29.004795971354923,3.0,
supermarine371i,0.009198,0.5,0.13,0.4,500000.0,0.5436,0.0187759855229177,72.6388888888889,5.0,28.95187575301909,4.0,
e220,0.024846,0.377,0.114691,0.369,500000.0,0.5102,0.0176279234524212,104.2808219178082,6.0,28.94271701241825,2.0,
nacacyh,0.027664,0.398,0.117018,0.298,500000.0,0.3529,0.0121937420132482,89.92653061224489,7.0,28.94107482482252,0.0,
m15,0.037701,0.3,0.120003,0.3,500000.0,0.449,0.0155295989840633,101.00755667506296,8.0,28.91253022442944,1.0,
npl9660,0.010324,0.198,0.113012,0.342,500000.0,0.3806,0.0131646131134821,69.61007311129164,7.0,28.91083822358744,3.0,
e360,0.015417,0.272,0.12236,0.369,500000.0,0.4109,0.0142227132228831,69.25925925925925,5.0,28.89040885243308,3.0,
e393,0.040038,0.477,0.115309,0.323,500000.0,0.5389,0.0186554583319258,124.36058700209642,6.0,28.886987948066647,0.0,
goe493,0.032724,0.503,0.150045,0.304,500000.0,0.4182,0.0144793659645814,105.48740416210296,5.0,28.882480146090423,0.0,
goe676,0.019619,0.3,0.119001,0.3,500000.0,0.4129,0.0143044129132921,86.25984251968502,6.0,28.865218202441564,2.0,
hq3514,0.033758,0.5,0.140005,0.35,500000.0,0.4852,0.0168160244503408,100.2980132450331,4.0,28.853430930291328,0.0,
naca4415,0.039618,0.403,0.149946,0.309,500000.0,0.5284,0.0183157892159256,96.17956064947468,5.0,28.84942569335506,1.0,
hq3014,0.029372,0.5,0.139862,0.35,500000.0,0.4136,0.0143460785820746,99.22587486744432,5.0,28.83017806111772,0.0,
m12,0.019236,0.3,0.119301,0.3,500000.0,0.4515,0.0156639042936246,86.78853754940711,6.0,28.82423127315481,2.0,
fx84w150,0.042029,0.403,0.149895,0.37,500000.0,0.4609,0.0159950812156774,115.54079696394686,7.0,28.81510845648307,0.0,
e361,0.016483,0.28,0.12108,0.371,500000.0,0.4161,0.0144437555563589,73.29752953813104,5.0,28.80829700948576,3.0,
s8037,0.026525,0.34,0.160061,0.34,500000.0,0.4442,0.0154390449754011,98.0377358490566,6.0,28.7712096640524,2.0,
npl9615,0.010324,0.198,0.113012,0.342,500000.0,0.4631,0.0161312059611638,70.9466984884646,7.0,28.708330989940976,3.0,
