Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Cl,Cd,peak_LD_2d,aoa_2d,peak_LD_3d,aoa_3d,airfoil
goe238,0.053366,0.3,0.098138,0.3,500000.0,0.5503,0.0146804484095208,312.3887587822014,9.0,37.48523101263783,1.0,
ag19,0.022814,0.428,0.054026,0.194,500000.0,0.2721,0.0073726068070975,81.65694282380397,4.0,36.90689156758679,0.0,
raf26,0.021182,0.5,0.066218,0.3,500000.0,0.3428,0.0093406094606644,90.71065989847716,2.0,36.69996068710646,0.0,
ag27,0.027109,0.44,0.061142,0.217,500000.0,0.3157,0.0086323328339103,90.93617021276596,3.0,36.57180579968344,0.0,
naca64206,0.010926,0.5,0.059905,0.4,500000.0,0.2881,0.0078782627096672,71.38376383763837,2.0,36.5689760061542,1.0,
ag18,0.021732,0.442,0.058674,0.207,500000.0,0.2629,0.0072482866588861,81.73349056603774,4.0,36.27064054892116,0.0,
hs1404,0.031223,0.46,0.040229,0.18,500000.0,0.4051,0.011195478278256,111.49549549549548,2.0,36.184251349653394,0.0,
ag26,0.025625,0.442,0.068449,0.234,500000.0,0.3111,0.008644359124659,91.42857142857144,3.0,35.988787082266256,0.0,
sa7024,0.03266,0.445,0.070069,0.259,500000.0,0.4226,0.0117679064104796,105.30758226037196,3.0,35.91123053321229,0.0,
raf25,0.010381,0.501,0.064787,0.301,500000.0,0.3042,0.0085053700771901,68.7434554973822,2.0,35.76563950060298,1.0,
s2060,0.01833,0.456,0.079988,0.302,500000.0,0.3849,0.0107678795531123,88.66057838660578,3.0,35.74519923829831,1.0,
mh30,0.017504,0.441,0.078449,0.297,500000.0,0.3565,0.0099793787802755,84.75384615384615,3.0,35.723666557745155,1.0,
ag25,0.024146,0.454,0.075826,0.247,500000.0,0.3067,0.008602562874093,92.00986436498152,4.0,35.652166045032864,0.0,
s2062,0.017555,0.458,0.079856,0.301,500000.0,0.3667,0.0102856208319012,89.01716068642746,3.0,35.651712812771166,1.0,
usa46,0.021582,0.4,0.065406,0.2,500000.0,0.3965,0.0111673192240232,86.13409415121255,3.0,35.50538782369945,1.0,
ag08,0.018027,0.395,0.058303,0.204,500000.0,0.3079,0.0087001816867116,75.7025641025641,5.0,35.39006552820333,1.0,
rg14a147,0.013632,0.344,0.069977,0.298,500000.0,0.3362,0.0095027889990239,79.11854103343464,3.0,35.37908713268609,1.0,
hor04,0.015112,0.46,0.040582,0.327,500000.0,0.3096,0.0087594929576553,60.10324483775811,2.0,35.34451154840251,1.0,
ag17,0.02028,0.455,0.064885,0.221,500000.0,0.3573,0.0101207632129115,82.08883553421367,4.0,35.30366163928967,1.0,
s6063,0.014349,0.417,0.069686,0.294,500000.0,0.286,0.0081331147588575,71.62518301610542,3.0,35.16487944406842,1.0,
ag09,0.018586,0.328,0.048634,0.174,500000.0,0.2902,0.008263740953794,74.12065439672801,5.0,35.11726730334677,1.0,
jx-gs-15,0.014657,0.4,0.075998,0.278,500000.0,0.3392,0.0096686665862458,77.42821473158551,4.0,35.08239703730502,1.0,
sd8000,0.017316,0.456,0.08863,0.294,500000.0,0.3469,0.0099265044191178,80.05755395683454,3.0,34.94684385894105,1.0,
ma409sm,0.033271,0.493,0.06694,0.238,500000.0,0.4446,0.0127223585672524,119.85915492957749,3.0,34.9463503681156,0.0,
hq208,0.01966,0.5,0.079761,0.35,500000.0,0.381,0.0109160213398029,98.58064516129032,3.0,34.902826601370215,1.0,
sa7025,0.03607,0.445,0.080068,0.287,500000.0,0.4371,0.0125547228378569,110.6451612903226,3.0,34.81558339798549,0.0,
sd7037,0.029901,0.399,0.092124,0.291,500000.0,0.369,0.0105989873426671,98.5749385749386,4.0,34.81464672710352,0.0,
ag16,0.018848,0.469,0.071145,0.233,500000.0,0.3452,0.0099224439646722,82.36874236874237,4.0,34.789816020029384,1.0,
s4110,0.031219,0.454,0.083818,0.285,500000.0,0.3993,0.0114907628499985,107.0778267254038,3.0,34.74965110780698,0.0,
sa7038,0.03265,0.425,0.092048,0.285,500000.0,0.4027,0.0115928766614863,101.80469715698392,4.0,34.73684847677571,0.0,
goe564,0.026154,0.4,0.082003,0.3,500000.0,0.3648,0.010503573420688,94.40251572327044,2.0,34.73103727551271,0.0,
mh32,0.024004,0.444,0.086976,0.301,500000.0,0.4196,0.012113289733017,94.67889908256882,4.0,34.63964036592819,1.0,
hq108,0.009852,0.5,0.07972,0.35,500000.0,0.38,0.010977523242934,78.59934853420195,3.0,34.61618723919318,2.0,
ds19,0.02,0.423,0.085,0.279,500000.0,0.3927,0.0113450135044621,88.73115577889448,4.0,34.61432635981854,1.0,
usa50,0.019301,0.4,0.070401,0.3,500000.0,0.4393,0.0126969260055455,82.75204359673025,3.0,34.598925740618725,1.0,
sa7036,0.028182,0.41,0.092021,0.281,500000.0,0.3376,0.0097781146557104,96.79245283018868,5.0,34.52608318545755,0.0,
ag52,0.01768,0.41,0.083519,0.282,500000.0,0.3527,0.0102284573201731,83.64213197969544,4.0,34.482228253950275,1.0,
ag24,0.022298,0.455,0.084142,0.26,500000.0,0.4016,0.0116497450961212,91.7125,4.0,34.47285727596843,1.0,
pfcm,0.013072,0.5,0.081931,0.4,500000.0,0.3062,0.0088910868664905,78.65853658536585,3.0,34.43898418696493,1.0,
s6062,0.016113,0.388,0.079478,0.313,500000.0,0.3105,0.0090203924358177,78.71913580246914,3.0,34.42200571752083,1.0,
s2048,0.019324,0.558,0.086298,0.351,500000.0,0.4,0.011641715504636,100.49679487179488,3.0,34.35919730564698,1.0,
goe598,0.00974,0.498,0.06544,0.398,500000.0,0.3433,0.0099934560731886,61.52329749103943,2.0,34.35248001149851,2.0,
hq258,0.024716,0.5,0.079691,0.35,500000.0,0.4594,0.01337338581775,108.13099041533546,3.0,34.35180935184361,1.0,
ag23,0.022012,0.454,0.088997,0.274,500000.0,0.4003,0.0116607064482329,92.40251572327044,4.0,34.328966411864336,1.0,
goe622,0.023782,0.4,0.079999,0.3,500000.0,0.3937,0.0114744627861673,89.21815889029004,4.0,34.310974494998604,1.0,
ag04,0.017523,0.394,0.064235,0.225,500000.0,0.3,0.0087503399713577,76.71548117154812,5.0,34.28438220480355,1.0,
