Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Cl,Cd,peak_LD_2d,aoa_2d,peak_LD_3d,aoa_3d
goe238,0.053366,0.3,0.098138,0.3,500000.0,0.5503,0.014680448409520833,312.3887587822014,9.0,37.48523101263783,1.0
ag19,0.022814,0.428,0.054026,0.194,500000.0,0.2721,0.007372606807097509,81.65694282380397,4.0,36.90689156758679,0.0
raf26,0.021182,0.5,0.066218,0.3,500000.0,0.3428,0.009340609460664449,90.71065989847716,2.0,36.69996068710646,0.0
ag27,0.027109,0.44,0.061142,0.217,500000.0,0.3157,0.008632332833910341,90.93617021276596,3.0,36.57180579968344,0.0
naca64206,0.010926,0.5,0.059905,0.4,500000.0,0.2881,0.007878262709667221,71.38376383763837,2.0,36.5689760061542,1.0
ag18,0.021732,0.442,0.058674,0.207,500000.0,0.2629,0.007248286658886143,81.73349056603774,4.0,36.27064054892116,0.0
hs1404,0.031223,0.46,0.040229,0.18,500000.0,0.4051,0.011195478278256003,111.49549549549549,2.0,36.184251349653394,0.0
ag26,0.025625,0.442,0.068449,0.234,500000.0,0.3111,0.008644359124659048,91.42857142857143,3.0,35.988787082266256,0.0
sa7024,0.03266,0.445,0.070069,0.259,500000.0,0.4226,0.011767906410479608,105.30758226037196,3.0,35.91123053321229,0.0
raf25,0.010381,0.501,0.064787,0.301,500000.0,0.3042,0.008505370077190188,68.7434554973822,2.0,35.76563950060298,1.0
s2060,0.01833,0.456,0.079988,0.302,500000.0,0.3849,0.010767879553112363,88.66057838660578,3.0,35.74519923829831,1.0
mh30,0.017504,0.441,0.078449,0.297,500000.0,0.3565,0.009979378780275513,84.75384615384615,3.0,35.723666557745155,1.0
ag25,0.024146,0.454,0.075826,0.247,500000.0,0.3067,0.008602562874093033,92.00986436498151,4.0,35.652166045032864,0.0
s2062,0.017555,0.458,0.079856,0.301,500000.0,0.3667,0.010285620831901255,89.01716068642746,3.0,35.651712812771166,1.0
usa46,0.021582,0.4,0.065406,0.2,500000.0,0.3965,0.011167319224023253,86.13409415121255,3.0,35.50538782369945,1.0
ag08,0.018027,0.395,0.058303,0.204,500000.0,0.3079,0.008700181686711654,75.7025641025641,5.0,35.39006552820333,1.0
rg14a147,0.013632,0.344,0.069977,0.298,500000.0,0.3362,0.009502788999023975,79.11854103343464,3.0,35.37908713268609,1.0
hor04,0.015112,0.46,0.040582,0.327,500000.0,0.3096,0.008759492957655352,60.10324483775811,2.0,35.34451154840251,1.0
ag17,0.02028,0.455,0.064885,0.221,500000.0,0.3573,0.010120763212911561,82.08883553421367,4.0,35.30366163928967,1.0
s6063,0.014349,0.417,0.069686,0.294,500000.0,0.286,0.008133114758857569,71.62518301610542,3.0,35.16487944406842,1.0
ag09,0.018586,0.328,0.048634,0.174,500000.0,0.2902,0.008263740953794067,74.12065439672801,5.0,35.11726730334677,1.0
jx-gs-15,0.014657,0.4,0.075998,0.278,500000.0,0.3392,0.009668666586245808,77.42821473158551,4.0,35.08239703730502,1.0
sd8000,0.017316,0.456,0.08863,0.294,500000.0,0.3469,0.009926504419117854,80.05755395683454,3.0,34.94684385894105,1.0
ma409sm,0.033271,0.493,0.06694,0.238,500000.0,0.4446,0.012722358567252411,119.85915492957747,3.0,34.9463503681156,0.0
hq208,0.01966,0.5,0.079761,0.35,500000.0,0.381,0.010916021339802968,98.58064516129032,3.0,34.902826601370215,1.0
sa7025,0.03607,0.445,0.080068,0.287,500000.0,0.4371,0.0125547228378569,110.64516129032259,3.0,34.81558339798549,0.0
sd7037,0.029901,0.399,0.092124,0.291,500000.0,0.369,0.01059898734266719,98.57493857493859,4.0,34.81464672710352,0.0
